Member ID,Gender,Title,Forename,Surname,Nino,Date Of Birth,Joining Date,Date Of Death,Status
1,Female,Mrs.,Michele,Potts,ST737015D,1995-02-18,2020-02-02,,Retired
2,Male,Mr.,Jerry,Morris,CD375703C,1953-08-06,1992-02-27,,Active
3,Female,Mrs.,Stephanie,Trevino,CD216525D,1943-01-31,2002-06-21,,Active
4,Female,Mrs.,Catherine,Martin,JK100732A,1921-07-05,1943-09-20,,Retired
5,Female,Dr.,Traci,Sloan,CD775498B,1936-02-21,2009-07-16,,Retired
6,Male,Mr.,Jose,Maldonado,QR187394C,1926-05-19,1960-09-17,1996-04-10,Retired
7,Female,Mrs.,Cassandra,Moyer,ST478947B,1935-11-14,1992-09-17,,Active
8,Female,Mrs.,Megan,Butler,WX891865C,1926-11-01,1985-12-17,,Deferred
9,Female,Ms.,Deborah,Potter,GH508106D,1936-04-30,1965-10-08,,Deferred
10,Female,Miss,Karen,Brewer,JK425441C,2005-03-24,2024-03-23,2024-03-28,Deferred
11,Female,Miss,Deanna,Stewart,CD645532C,1922-04-13,1963-06-30,,Retired
12,Male,Mr.,Alan,Choi,LM638050C,1975-04-24,2003-06-24,,Deferred
13,Male,Mr.,Timothy,Sandoval,CD916821B,1959-05-11,2011-03-18,,Retired
14,Female,Mrs.,Mary,Hart,AB792737A,1930-11-06,1964-02-27,2022-12-14,Retired
15,Male,Dr.,Jason,Doyle,AB920955B,1995-03-23,2019-01-16,,Deferred
16,Female,Mrs.,Tiffany,Salazar,QR767186D,2007-01-14,2025-02-16,,Active
17,Female,Dr.,Jillian,Pollard,CD387148D,1950-01-01,2006-07-18,,Active
18,Male,Mr.,James,Anderson,JK187194B,1998-03-06,2016-05-28,,Deferred
19,Female,Mrs.,Maria,Murray,AB121288C,1926-04-01,1998-11-19,,Active
20,Male,Dr.,David,Alvarado,GH129313B,1982-09-25,2003-11-25,,Active
21,Female,Mrs.,Julie,Boyer,JK427761C,1932-04-18,2001-08-13,,Retired
22,Female,Mrs.,Olivia,Fuller,NP779343B,1982-12-31,2014-01-21,,Active
23,Female,Mrs.,Jessica,Cervantes,JK223543A,1958-05-18,2001-01-17,,Active
24,Male,Mr.,Brandon,Newman,CD891301C,1974-10-23,1996-02-10,,Retired
